region,delegacion,nivel,sede,padron
REGIÓN I - TANTOYUCA,D-II-59,SECUNDARIA GENERAL,PANUCO,0
REGIÓN II - TUXPAN,D-III-13,EDUCACION FISICA,TUXPAN,1
REGIÓN II - TUXPAN,D-II-20,TELEBACHILLERATO,TUXPAN,1
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-I-77,PRIMARIAS,JUCHIQUE DE FERRER,0
REGIÓN II - TUXPAN,D-I-94,PRIMARIAS,TAMIAHUA,1
REGIÓN VI - VERACRUZ,D-I-08,PRIMARIAS,CARDEL,1
REGIÓN II - TUXPAN,D-I-09,PRIMARIAS,CERRO AZUL,1
REGIÓN II - TUXPAN,D-II-22,TELEBACHILLERATO,NARANJOS,1
REGIÓN VII - CÓRDOBA,D-II-31,TELEBACHILLERATO,COSCOMATEPEC,0
REGIÓN I - TANTOYUCA,D-II-35,TELEBACHILLERATO,TANTOYUCA,0
REGIÓN II - TUXPAN,D-II-53,ESCUELA SECUENDARIA Y BACHILLERATO ABIERTO,TUXPAN,1
REGIÓN II - TUXPAN,D-I-57,PRIMARIAS,TUXPAN,1
REGIÓN II - TUXPAN,D-I-35,PRIMARIAS,NARANJOS,1
REGIÓN II - TUXPAN,D-I-19,PRIMARIAS,CHONTLA,1
REGIÓN II - TUXPAN,D-I-38,PRIMARIAS,OZULUAMA,1
REGIÓN I - TANTOYUCA,D-I-71,PRIMARIAS,BENITO JUAREZ,0
REGIÓN II - TUXPAN,D-I-80,PREESCOLAR,TUXPAN,1
REGIÓN I - TANTOYUCA,D-II-50,TELEBACHILLERATO,TEMPOAL,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-II-34,TELEBACHILLERATO,MISANTLA,0
REGIÓN V - XALAPA,D-I-60,PREESCOLAR,XALAPA,1
REGIÓN VI - VERACRUZ,D-I-43,PRIMARIAS,PIEDRAS NEGRAS,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-I-93,PRIMARIAS,VEGA DE LA TORRE,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-III-15,EDUCACION FISICA,MARTINEZ DE LA TORRE,0
REGIÓN IX - COSAMALOAPAN,D-II-12,SECUNDARIA Y BACHILLERES,TLACOTALPAN,1
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-I-74,PRIMARIAS,TLAPACOYAN,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-II-32,TELEBACHILLERATO,MARTINEZ DE LA TORRE,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-II-42,TELESECUNDARIA,MARTINEZ DE LA TORRE,0
REGIÓN I - TANTOYUCA,D-II-37,TELESECUNDARIA,TANTOYUCA,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-II-48,TELEBACHILLERATO,SAN RAFAEL,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-I-30,PRIMARIAS,MARTINEZ DE LA TORRE,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-I-33,PRIMARIAS,MISANTLA,0
REGIÓN IX - COSAMALOAPAN,D-II-14,BACHILLERATO,ALVARADO,0
REGIÓN VI - VERACRUZ,D-I-58,PRIMARIAS,VERACRUZ,1
REGIÓN VI - VERACRUZ,D-III-18,EDUCACION FISICA,CARDEL,1
REGIÓN IX - COSAMALOAPAN,D-I-79,PREESCOLAR,ALVARADO,0
REGIÓN VII - CÓRDOBA,D-I-23,PRIMARIAS,HUATUSCO,0
REGIÓN V - XALAPA,D-II-58,TELEBACHILLERATO,XALAPA,1
REGIÓN VII - CÓRDOBA,D-I-66,FORANEAS,CORDOBA,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-I-88,PREESCOLAR,MARTINEZ DE LA TORRE,0
REGIÓN VIII - ORIZABA,D-I-78,PREESCOLAR,ORIZABA,0
REGIÓN X - SAN ANDRES TUXTLA,D-I-48,PRIMARIAS,SAN ANDRES TUXTLA,0
REGIÓN VII - CÓRDOBA,D-I-36,PRIMARIAS,OMEALCA,0
REGIÓN VII - CÓRDOBA,D-I-14,LOCALES,CORDOBA,0
REGIÓN X - SAN ANDRES TUXTLA,D-I-25,PRIMARIAS,ISLA,0
REGIÓN IX - COSAMALOAPAN,D-II-29,NORMAL,TLACOTALPAN,1
REGIÓN X - SAN ANDRES TUXTLA,D-II-16,TELEBACHILLERATO,SAN ANDRES TUXTLA,1
REGIÓN V - XALAPA,D-I-84,TECNICOS DOCENTES ADMINISTRATIVOS,XALAPA,1
REGIÓN X - SAN ANDRES TUXTLA,D-I-45,PRIMARIAS,PLAYA VICENTE,0
REGIÓN X - SAN ANDRES TUXTLA,D-II-28,TELEBACHILLERATO,ISLA,0
REGIÓN IX - COSAMALOAPAN,D-II-10,SECUNDARIA Y BACHILLERES,ALVARADO,1
REGIÓN IX - COSAMALOAPAN,D-I-63,PREESCOLAR,COSAMALOAPAN,1
REGIÓN X - SAN ANDRES TUXTLA,D-I-29,PRIMARIAS,LERDO DE TEJADA,1
REGIÓN X - SAN ANDRES TUXTLA,D-I-89,PREESCOLAR,ISLA,0
REGIÓN X - SAN ANDRES TUXTLA,D-II-51,TELEBACHILLERATO,SANTIAGO TUXTLA,1
REGIÓN X - SAN ANDRES TUXTLA,D-I-68,PRIMARIAS,SANTIAGO TUXTLA,0
REGIÓN VIII - ORIZABA,D-I-27,PRIMARIAS,IXTACZOQUITLAN,1
REGIÓN V - XALAPA,D-III-04,ADMINISTRATIVOS  EDUCACION FISICA,XALAPA,1
REGIÓN V - XALAPA,D-II-21,TELEBACHILLERATO,XALAPA,1
REGIÓN VII - CÓRDOBA,D-II-09,ESCUELA SECUNDARIA Y BACHILLERES DE ARTES Y OFICIOS,CORDOBA,1
REGIÓN V - XALAPA,D-II-46,TELEBACHILLERATO II,XALAPA,1
REGIÓN X - SAN ANDRES TUXTLA,D-I-41,PREESCOLAR,SAN ANDRES TUXTLA,1
REGIÓN VIII - ORIZABA,D-I-65,PRIMARIAS,ZONGOLICA,0
REGIÓN VIII - ORIZABA,D-I-55,PRIMARIAS,SAN JUAN TEXHUACAN,1
REGIÓN VIII - ORIZABA,D-I-10,PRIMARIAS,CIUDAD MENDOZA,1
REGIÓN VIII - ORIZABA,D-I-54,PRIMARIAS,TEQUILA,1
REGIÓN V - XALAPA,D-III-01,MANUALES,XALAPA,0
REGIÓN VII - CÓRDOBA,D-III-11,EDUCACION FISICA,CORDOBA,0
REGIÓN V - XALAPA,D-I-05,PRIMARIAS,ALTOTONGA,1
REGIÓN V - XALAPA,D-I-92,ENSEÑANZAS MUSICALES,XALAPA,1
REGIÓN I - TANTOYUCA,D-I-90,PREESCOLAR,TANTOYUCA,0
REGIÓN I - TANTOYUCA,D-I-87,PRIMARIAS,IXCATEPEC,1
REGIÓN VIII - ORIZABA,D-II-17,TELESECUNDARIA,ORIZABA,1
REGIÓN VIII - ORIZABA,D-II-26,TELEBACHILLERATO,ORIZABA,1
REGIÓN VIII - ORIZABA,D-I-03,PRIMARIAS,ACULTZINGO,0
REGIÓN IX - COSAMALOAPAN,D-II-27,TELEBACHILLERATO,TIERRA BLANCA,1
REGIÓN VIII - ORIZABA,D-III-05,EDUCACION FISICA,ORIZABA,1
REGIÓN I - TANTOYUCA,D-I-91,PREESCOLAR,PANUCO,1
REGIÓN I - TANTOYUCA,D-I-44,PRIMARIAS,PLATON SANCHEZ,0
REGIÓN V - XALAPA,D-III-16,EDUCACION FISICA,COATEPEC,1
REGIÓN VII - CÓRDOBA,D-I-64,PREESCOLAR,CORDOBA,0
REGIÓN V - XALAPA,D-II-38,TELESECUNDARIA,XALAPA,0
REGIÓN V - XALAPA,D-II-13,NORMAL,XALAPA,1
REGIÓN I - TANTOYUCA,D-I-51,PRIMARIAS,TANTOYUCA,0
REGIÓN V - XALAPA,D-II-15,BACHILLERATOS VESPERTINOS,XALAPA,1
REGIÓN I - TANTOYUCA,D-I-52,PRIMARIAS,TEMPOAL,1
REGIÓN V - XALAPA,D-III-08,ADMINISTRATIVOS Y DOCENTES DE LA D.G.B.,XALAPA,1
REGIÓN V - XALAPA,D-II-24,UNIVERSIDAD PEDAGOGICA VERACRUZANA,XALAPA,1
REGIÓN VI - VERACRUZ,D-I-07,PRIMARIAS,BOCA DEL RIO,1
REGIÓN I - TANTOYUCA,D-I-39,PRIMARIAS,PANUCO,0
REGIÓN I - TANTOYUCA,D-III-17,EDUCACION FISICA,TANTOYUCA,0
REGIÓN IX - COSAMALOAPAN,D-II-43,BACHILLERATO,ALVARADO,1
REGIÓN IX - COSAMALOAPAN,D-I-06,PRIMARIAS,ALVARADO,1
REGIÓN V - XALAPA,D-II-03,BACHILLERATO  ARTICULO 3° DIURNA,XALAPA,1
REGIÓN IX - COSAMALOAPAN,D-I-56,PRIMARIAS,TIERRA BLANCA,1
REGIÓN V - XALAPA,D-I-81,PREESCOLAR,COATEPEC,1
REGIÓN V - XALAPA,D-I-61,LOCALES,XALAPA,1
REGIÓN I - TANTOYUCA,D-I-72,PRIMARIAS,PUEBLO VIEJO,0
REGIÓN V - XALAPA,D-I-53,PRIMARIAS,TEOCELO,1
REGIÓN V - XALAPA,D-III-03,ADMINISTRATIVOS OFICINAS CENTRALES,XALAPA,1
REGIÓN V - XALAPA,D-I-11,PRIMARIAS,COATEPEC,1
REGIÓN V - XALAPA,D-I-34,PRIMARIAS,NAOLINCO,1
REGIÓN V - XALAPA,D-III-24,ADMINISTRATIVOS TELEBACHILLERATO,XALAPA,1
REGIÓN V - XALAPA,D-I-75,PRIMARIAS,CARRIZAL,0
REGIÓN V - XALAPA,D-III-23,EDUCACION FISICA,XALAPA,1
REGIÓN V - XALAPA,D-I-20,PRIMARIAS,EMILIANO ZAPATA,1
REGIÓN V - XALAPA,D-II-04,BACHILLERATOS MATUTINOS,XALAPA,1
REGIÓN V - XALAPA,D-IV-18,JUBILADOS Y PENSIONADOS,ALTOTONGA,1
REGIÓN II - TUXPAN,D-IV-09,JUBILADOS Y PENSIONADOS,TUXPAN,1
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-IV-28,JUBILADOS Y PENSIONADOS,MISANTLA,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,D-IV-08,JUBILADOS Y PENSIONADOS,MARTINEZ DE LA TORRE,0
REGIÓN VI - VERACRUZ,D-IV-05,JUBILADOS Y PENSIONADOS,SOLEDAD DE DOBLADO,1
REGIÓN X - SAN ANDRES TUXTLA,D-IV-03,JUBILADOS Y PENSIONADOS,SAN ANDRES TUXTLA,0
REGIÓN X - SAN ANDRES TUXTLA,D-IV-26,JUBILADOS Y PENSIONADOS,ISLA,0
REGIÓN IX - COSAMALOAPAN,D-IV-06,JUBILADOS Y PENSIONADOS,COSAMALOAPAN,1
REGIÓN VIII - ORIZABA,D-IV-32,JUBILADOS Y PENSIONADOS,ZONGOLICA,1
REGIÓN VIII - ORIZABA,D-IV-07,JUBILADOS Y PENSIONADOS,ORIZABA,1
REGIÓN V - XALAPA,D-IV-17,JUBILADOS Y PENSIONADOS,COATEPEC,1
REGIÓN VII - CÓRDOBA,D-IV-16,JUBILADOS Y PENSIONADOS,CORDOBA,0
REGIÓN IX - COSAMALOAPAN,D-IV-21,JUBILADOS Y PENSIONADOS,ALVARADO,0
REGIÓN V - XALAPA,D-IV-02,JUBILADOS Y PENSIONADOS,XALAPA,1
REGIÓN I - TANTOYUCA,D-IV-13,JUBILADOS Y PENSIONADOS,TANTOYUCA,0
REGIÓN IV - MARTÍNEZ DE LA TORRE,C.T.05,ESCUELA Y BACHILLERES ALFONSO REYES,MISANTLA,1
REGIÓN V - XALAPA,C.T.23,BACHILLERATO JOAQUIN RAMIREZ CABAÑAS MIXTA,XALAPA,1
REGIÓN IV - MARTÍNEZ DE LA TORRE,C.T.09,SECUNDARIA GENERAL,SAN RAFAEL,1
REGIÓN VIII - ORIZABA,C.T.13,SECUNDARIA,CIUDAD MENDOZA,1
REGIÓN IV - MARTÍNEZ DE LA TORRE,C.T.29,BACHILLERATO,MARTINEZ DE LA TORRE,1
REGIÓN X - SAN ANDRES TUXTLA,C.T.36,SECUNDARIA Y BACHILLERATO,SANTIAGO TUXTLA,0
REGIÓN V - XALAPA,C.T.20,BACHILLEARTO RICARDO FLORES MAGON MIXTO,XALAPA,1
REGIÓN V - XALAPA,C.T.03,BACHILLERATO SABATINO,XALAPA,1
REGIÓN V - XALAPA,C.T.21,BACHILLERATO ANTONIO MARIA DE RIVERA MIXTA,XALAPA,1
REGIÓN VIII - ORIZABA,C.T.14,BACHILLERATO,ORIZABA,1
REGIÓN VI - VERACRUZ,C.T.10,SECUNDARIA,SOLEDAD DE DOBLADO,1
REGIÓN VIII - ORIZABA,C.T.40,TELEBACHILLERATO,ZONGOLICA,1
REGIÓN VI - VERACRUZ,C.T.32,SECUNDARIA,CARDEL,1
REGIÓN I - TANTOYUCA,C.T.07,SECUNDARIA GENERAL,IXCATEPEC,1
REGIÓN VI - VERACRUZ,C.T.31,UNIVERSIDAD PEDAGOGICA VERACRUZANA,VERACRUZ,1
REGIÓN V - XALAPA,C.T.33,NORMAL MANUEL SUAREZ TRUJILLO,XALAPA,1
REGIÓN V - XALAPA,D-II-55,TELEBACHILLERATO,XALAPA,1
REGIÓN V - XALAPA,C.T.24,DEPARTAMENTO NORMALES,XALAPA,1
REGIÓN XI - MINATITLÁN,D-I-28,PRIMARIAS,JESUS CARRANZA,0
REGIÓN XI - MINATITLÁN,D-I-02,PRIMARIAS,ACAYUCAN,0
REGIÓN III - POZA RICA,D-II-25,TELEBACHILLERATO,ESPINAL,1
REGIÓN XI - MINATITLÁN,D-I-31,FORANEAS,MINATITLAN,0
REGIÓN XI - MINATITLÁN,D-I-17,PRIMARIAS,COSOLEACAQUE,0
REGIÓN III - POZA RICA,D-I-26,PRIMARIAS,IXHUATLAN DE MADERO,1
REGIÓN I - TANTOYUCA,D-II-01,NORMAL,ACECECA,1
REGIÓN III - POZA RICA,D-II-54,TELESECUNDARIA,ALAMO,0
REGIÓN XI - MINATITLÁN,D-I-01,PRIMARIAS,ACAYUCAN,0
REGIÓN III - POZA RICA,D-I-83,PREESCOLAR,POZA RICA,1
REGIÓN VII - CÓRDOBA,D-III-21,EDUCACION FISICA,HUATUSCO,0
REGIÓN VII - CÓRDOBA,D-I-22,PRIMARIAS,FORTIN,0
REGIÓN XI - MINATITLÁN,D-I-86,EDUCACION ESPECIAL,ACAYUCAN,0
REGIÓN III - POZA RICA,D-I-69,PRIMARIAS,TIHUATLAN,1
REGIÓN VII - CÓRDOBA,D-I-16,PRIMARIAS,COSCOMATEPEC,0
REGIÓN III - POZA RICA,D-II-47,TELEBACHILLERATO,PAPANTLA,1
